Study Hours per Week,Attendance Rate,Previous Grades,Passed
12.5,,75,Yes
9.3,95.3,60.6,No
13.2,,64,No
17.6,76.8,62.4,No
8.8,89.3,72.7,No
8.8,73.8,69.3,Yes
17.9,38.6,93.6,Yes
13.8,95.8,59.2,No
7.7,100.1,91.9,Yes
12.7,38.4,37.8,nan
7.7,54.1,72.3,No
7.7,115.5,41.2,No
11.2,79.6,49.6,nan
0.4,75.1,50.4,Yes
1.4,66.5,49.2,Yes
7.2,54.4,55.9,No
4.9,71.1,98,No
11.6,94.5,51.8,Yes
5.5,74.7,40.8,No
2.9,87.2,72.4,Yes
17.3,110.3,68.6,Yes
8.9,63.4,98.2,No
10.3,81.1,64.4,No
2.9,95.1,30.7,Yes
7.3,56.3,58.6,Yes
10.6,,58.3,Yes
4.2,112.4,46.5,Yes
11.9,68.2,56.6,No
7,96.4,62.8,No
8.5,72.2,64.1,Yes
7,111,44.3,Yes
19.3,42.1,74.1,Yes
9.9,76.3,89.5,No
4.7,45.4,69.2,Yes
14.1,61,81.6,Yes
3.9,60.9,67.7,No
11,69.7,49.3,Yes
0.2,51.2,69.1,Yes
3.4,73.6,57.5,Yes
11,84.2,48.4,Yes
,44.4,63.8,Yes
10.9,62.3,77.3,Yes
9.4,125.8,59.9,No
8.5,81.6,94.1,No
2.6,38.6,79.3,Yes
6.4,47,56.8,No
7.7,79.5,56.3,No
15.3,77,97.2,Yes
11.7,63.3,60,No
1.2,118.9,70.5,Yes
11.6,127.4,71.3,Yes
8.1,69.7,39.1,No
6.6,92.5,39.3,Yes
13.1,93.5,,Yes
15.2,96.1,49.3,nan
14.7,62.2,65.2,Yes
5.8,113.8,42.3,Yes
8.5,73.6,60.1,No
11.7,83.4,68.2,Yes
14.9,75,34.1,No
7.6,72.2,65.8,Yes
9.1,80.6,66.6,No
4.5,51.3,58,Yes
4,35.6,48.5,Yes
14.1,70.7,59.4,No
16.8,57.4,59.4,Yes
9.6,86,93.9,No
15,83.7,63.2,Yes
11.8,75.3,58,No
6.8,104.6,63.2,No
11.8,74.9,71.4,Yes
17.7,45.8,70.8,Yes
9.8,70.5,71.7,No
17.8,98.4,74,Yes
-3.1,37.3,43.1,Yes
14.1,73.1,72.7,Yes
10.4,86.5,67.8,Yes
8.5,128,55.7,Yes
10.5,99.2,66.6,Yes
0.1,77.7,63.4,Yes
8.9,85.4,64.7,Yes
11.8,37,67.6,Yes
17.4,,39.8,No
7.4,,68.9,nan
6,78.2,74.8,Yes
7.5,80.8,68.7,Yes
14.6,75.7,54.1,No
11.6,74.9,52.1,No
7.4,77.1,67.7,Yes
12.6,53.9,77,No
10.5,70.4,84.6,No
14.8,,76.5,Yes
6.5,62.6,72.7,Yes
8.4,98.9,26.9,Yes
8,71.4,,No
2.7,86.9,,No
11.5,77.3,54.8,Yes
